reader_timestamp,reader_command,tag_timestamp,tag_command,round_trip_us
13922039,Query,13922405,Select,366
13922364,QueryAdjust,13922405,Select,41
13926410,QueryAdjust,13926569,Select,159
13931911,QueryAdjust,13932006,Query,95
13939972,QueryAdjust,13940086,Select,114
13943557,Query,13943920,Query,363
13948076,Query,13948268,Query,192
13953644,Query,13953683,Query,39
13966873,Query,13966975,Query,102
13967031,QueryAdjust,13967295,QueryAdjust,264
13982598,QueryRep,13982937,Select,339
13993355,Query,13993660,Query,305
13997798,Query,13997994,QueryAdjust,196
